Name	Formula	Type	Description	Contributor	State	grel	DOI	damping	DOI	Ms (A/m)	DOI	A (J/m)	DOI	D (J/m2)	DOI	J1 (J/m2)	DOI	J2 (J/m2)	DOI	K1 (J/m3)	DOI	K2 (J/m3)	DOI	ea1	DOI	ea2	DOI	Tc (K)	DOI	muB (K)	DOI	elC (S/m)	DOI	amr (%)	DOI	P	DOI	beta	DOI	De (m2/s)	DOI	betaD	DOI	SHA	DOI	iSHA	DOI	flST	DOI	l_sf (m)	DOI	l_J (m)	DOI	l_phi (m)	DOI	Gi (S/m2)	DOI	Gmix (S/m2)	DOI	thermK (W/mK)	DOI	density (kg/m3)	DOI	shc (J/kgK)	DOI
CoFeB/Pt	Co60Fe20B20	ferromagnetic	Thin amorphous CoFeB interfaced with Pt	N/A	LOCAL	1	N/A	0.13	https://doi.org/10.1063/1.3093816	430000	10.1038/NPHYS4000	1.00E-11	N/A	-0.0014	10.1038/NPHYS4000	0	N/A	0	N/A	270000	10.1038/NPHYS4000	0	N/A	0, 0, 1	10.1038/NPHYS4000	0, 1, 0	N/A	750	https://doi.org/10.1063/1.4985720	1.72	N/A	1.00E+06	10.1063/1.2949740	1	N/A	0.6	10.1063/1.2949740	0.001	N/A	0.004	N/A	0.6	N/A	0	N/A	N/A	N/A	0	N/A	4.20E-08	N/A	2.60E-09	N/A	4.20E-09	N/A	1e+15, 1e+14	N/A	1.5e+15, 1.5e+14	N/A	122	N/A	8920	N/A	420	N/A
SiO2	SiO2	insulator	Thermally oxidized silicon dioxide	N/A	SHARED	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.4	https://doi.org/10.1007/978-1-4615-2209-6	2200	https://doi.org/10.1007/978-1-4615-2209-6	730	https://doi.org/10.1007/978-1-4615-2209-6
Ni	Ni	ferromagnetic	Nickel (fcc) with magnetic parameters at 0K	N/A	SHARED	1.1	https://doi.org/10.1088/0022-3727/41/16/164016	0.05	https://doi.org/10.1088/0022-3727/41/16/164016	4.90E+05	https://doi.org/10.1017/CBO9780511845000	8.00E-12	https://doi.org/10.1017/CBO9780511845000	0	N/A	N/A	N/A	N/A	N/A	-5.00E+03	https://doi.org/10.1017/CBO9780511845000	0	N/A	1, 0, 0	N/A	0, 1, 0	N/A	628	https://doi.org/10.1017/CBO9780511845000	0.6	https://doi.org/10.1017/CBO9780511845000	1.40E+07	https://doi.org/10.1063/1.555684	2	https://doi.org/10.1109/TMAG.1975.1058782	0.44	https://doi.org/10.1126/science.282.5386.85	0.01	N/A	3E-03	https://doi.org/10.1088/0953-8984/10/48/005	0.44	N/A	0	N/A	N/A	N/A	0	N/A	2.30E-08	https://doi.org/10.1063/1.2424437	2.30E-09	N/A	5.70E-09	https://doi.org/10.1103/PhysRevLett.109.117204	N/A	N/A	N/A	N/A	106	https://doi.org/10.1007/10201438_52	8908	https://doi.org/10.1017/CBO9780511845000	440	https://doi.org/10.1007/10201438_51
Py	Ni80Fe20	ferromagnetic	Micromagnetics standard permalloy with magnetic parameters at 0K	N/A	SHARED	1	N/A	0.02	N/A	800000	N/A	1.30E-11	N/A	0	N/A	N/A	N/A	N/A	N/A	0	N/A	0	N/A	N/A	N/A	N/A	N/A	870	N/A	1	N/A	6.70E+06	https://doi.org/10.1063/1.555684	3	https://doi.org/10.1109/TMAG.1975.1058782	0.4	https://doi.org/10.1103/PhysRevB.79.094402	0.06	N/A	1.6E-03	https://doi.org/10.1088/0953-8984/10/48/005	0.4	N/A	0	N/A	N/A	N/A	0	N/A	6.5E-09	https://doi.org/10.1063/1.4990652	1.60E-09	N/A	1.90E-09	https://doi.org/10.1103/PhysRevLett.109.117204	N/A	N/A	N/A	N/A	46.4	https://doi.org/10.1063/1.4966607	8740	https://doi.org/10.1063/1.4966607	430	https://doi.org/10.1063/1.4966607
Fe	Fe	ferromagnetic	Iron (fcc) with magnetic parameters at 0K	N/A	SHARED	1	https://doi.org/10.1016/0038-1098(94)00906-6 	0.001	https://doi.org/10.1016/0038-1098(94)00906-6 	1.71E+06	https://doi.org/10.1017/CBO9780511845000	2.10E-11	https://doi.org/10.1017/CBO9780511845000	0	N/A	N/A	N/A	N/A	N/A	4.80E+04	https://doi.org/10.1017/CBO9780511845000	-1.00E+04	https://doi.org/10.1017/CBO9780511845000	1, 0, 0	N/A	0, 1, 0	N/A	1044	https://doi.org/10.1017/CBO9780511845000	2.22	https://doi.org/10.1017/CBO9780511845000	1.00E+07	https://doi.org/10.1063/1.555684	0.2	https://doi.org/10.1109/TMAG.1975.1058782	0.45	https://doi.org/10.1126/science.282.5386.85	0.05	N/A	2.9E-03	https://doi.org/10.1088/0953-8984/10/48/005	0.45	N/A	0	N/A	N/A	N/A	0	N/A	9.50E-09	https://doi.org/10.1088/0953-8984/19/18/183201	2.20E-09	N/A	4.40E-09	https://doi.org/10.1103/PhysRevLett.109.117204	N/A	N/A	N/A	N/A	79.5	https://doi.org/10.1007/10201438_52	7874	https://doi.org/10.1017/CBO9780511845000	450	https://doi.org/10.1007/10201438_51
Co_hcp	Co	ferromagnetic	Cobalt (hcp) with magnetic parameters at 0K	N/A	SHARED	1.1	https://doi.org/10.1016/0038-1098(94)00906-6 	0.005	https://doi.org/10.1016/0038-1098(94)00906-6 	1.44E+06	https://doi.org/10.1017/CBO9780511845000	3.10E-11	https://doi.org/10.1017/CBO9780511845000	0	N/A	N/A	N/A	N/A	N/A	4.10E+05	https://doi.org/10.1017/CBO9780511845000	1.40E+05	https://doi.org/10.1017/CBO9780511845000	0, 0, 1	N/A	N/A	N/A	1360	https://doi.org/10.1017/CBO9780511845000	1.72	https://doi.org/10.1017/CBO9780511845000	1.70E+07	https://doi.org/10.1017/CBO9780511845000	1.9	https://doi.org/10.1109/TMAG.1975.1058782	0.42	https://doi.org/10.1126/science.282.5386.85	0.004	N/A	4.1E-03	https://doi.org/10.1088/0953-8984/10/48/005	0.42	N/A	0	N/A	N/A	N/A	0	N/A	4.20E-08	https://doi.org/10.1007/s100510050398	2.60E-09	N/A	4.20E-09	https://doi.org/10.1103/PhysRevLett.109.117204	N/A	N/A	N/A	N/A	122	https://doi.org/10.1007/10201438_52	8920	https://doi.org/10.1017/CBO9780511845000	420	https://doi.org/10.1007/10201438_51
MgO	MgO	insulator	MgO substrate	N/A	SHARED	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	42	https://doi.org/10.1007/978-1-4615-2209-6	3580	https://doi.org/10.1007/978-1-4615-2209-6	877	https://doi.org/10.1007/978-1-4615-2209-6
Si3N4	Si3N4	insulator	Si3N4 substrate	N/A	SHARED	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	85	https://doi.org/10.1007/978-1-4615-2209-6	3220	https://doi.org/10.1007/978-1-4615-2209-6	680	https://doi.org/10.1007/978-1-4615-2209-6
Co/Pt	Co	ferromagnetic	Ultrathin Co interfaced with Pt	N/A	SHARED	1.3	https://doi.org/10.1103/PhysRevB.74.214405	0.1	https://doi.org/10.1063/1.2709502	6.00E+05	https://doi.org/10.1038/nmat4593	1.0E-11	N/A	-1.50E-03	https://doi.org/10.1038/nmat4593	N/A	N/A	N/A	N/A	3.80E+05	https://doi.org/10.1038/nmat4593	0	N/A	0, 0, 1	N/A	N/A	N/A	1360	https://doi.org/10.1017/CBO9780511845000	1.72	https://doi.org/10.1017/CBO9780511845000	5.00E+06	https://doi.org/10.1007/s100510050	1.9	https://doi.org/10.1109/TMAG.1975.1058782	0.42	https://doi.org/10.1126/science.282.5386.85	0.002	N/A	1.2E-03	https://doi.org/10.1088/0953-8984/10/48/005	0.42	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4.20E-08	https://doi.org/10.1007/s100510050398	2E-09	N/A	3.20E-09	https://doi.org/10.1103/PhysRevLett.109.117204	1e15, 1e14	N/A	1.5e15, 0.5e15	https://doi.org/10.1038/nphys3304	122	https://doi.org/10.1007/10201438_52	8920	https://doi.org/10.1017/CBO9780511845000	420	https://doi.org/10.1007/10201438_51
Co90Fe10/Ru	Co90Fe10	ferromagnetic	Thin Co90Fe10 layers with Ru spacer	N/A	SHARED	1.1	https://doi.org/10.1038/s41598-017-01748-7	0.007	https://doi.org/10.1038/s41598-017-01748-7	1.30E+06	https://doi.org/10.1038/s41598-017-01748-7	1.5E-11	https://doi.org/10.1063/1.3679433	0.00E+00	N/A	-1.00E-03	https://doi.org/10.1038/s41598-017-01748-7	0	N/A	3.70E+03	https://doi.org/10.1038/s41598-017-01748-7	0	N/A	1, 0, 0	N/A	N/A	N/A	1360	N/A	1.77	N/A	4.00E+06	https://doi.org/10.1063/1.364670	1	N/A	0.34	https://doi.org/10.1038/s41598-017-01748-7	0.009	N/A	1.00E-03	https://doi.org/10.1088/0953-8984/10/48/005	0.34	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.3E-08	https://doi.org/10.1016/S0304-8853(99)00046-3	1.70E-09	N/A	2.10E-09	N/A	1e15, 1e14	N/A	1e15, 3e14	N/A	122	https://doi.org/10.1007/10201438_52	8800	https://doi.org/10.1017/CBO9780511845000	420	https://doi.org/10.1007/10201438_51
